"Wavelength (nm)","T"
200,0.00815
201,0.00405
202,-0.00278
203,-0.00033
204,-0.02479
205,-0.03052
206,-0.02875
207,-0.02452
208,-0.03556
209,-0.03491
210,-0.02249
211,-0.02584
212,-0.02817
213,-0.0263
214,-0.02054
215,-0.02632
216,-0.02736
217,-0.02672
218,-0.02666
219,-0.03037
220,-0.03112
221,-0.03234
222,-0.03611
223,-0.0356
224,-0.03198
225,-0.02924
226,-0.02928
227,-0.02791
228,-0.02895
229,-0.03114
230,-0.03213
231,-0.03115
232,-0.03118
233,-0.02968
234,-0.03292
235,-0.0329
236,-0.03371
237,-0.03469
238,-0.03608
239,-0.03264
240,-0.03415
241,-0.03278
242,-0.03132
243,-0.03146
244,-0.03094
245,-0.03023
246,-0.02995
247,-0.03078
248,-0.03084
249,-0.03213
250,-0.03169
251,-0.03317
252,-0.03289
253,-0.03279
254,-0.03174
255,-0.03209
256,-0.03155
257,-0.03194
258,-0.0325
259,-0.03268
260,-0.03278
261,-0.03295
262,-0.03251
263,-0.0313
264,-0.03229
265,-0.03228
266,-0.03201
267,-0.03217
268,-0.03281
269,-0.03399
270,-0.03439
271,-0.03442
272,-0.03546
273,-0.03649
274,-0.03606
275,-0.03533
276,-0.03548
277,-0.03474
278,-0.03421
279,-0.03345
280,-0.03423
281,-0.03335
282,-0.03271
283,-0.0317
284,-0.03211
285,-0.03127
286,-0.0322
287,-0.03345
288,-0.03502
289,-0.0334
290,-0.03494
291,-0.03503
292,-0.03536
293,-0.03596
294,-0.03633
295,-0.03601
296,-0.03659
297,-0.03649
298,-0.03513
299,-0.036
300,-0.03603
301,-0.03586
302,-0.03579
303,-0.03542
304,-0.03575
305,-0.03388
306,-0.0348
307,-0.03522
308,-0.03543
309,-0.03417
310,-0.03445
311,-0.03242
312,-0.03193
313,-0.03258
314,-0.03315
315,-0.03343
316,-0.03485
317,-0.03447
318,-0.03503
319,-0.03502
320,-0.03578
321,-0.03494
322,-0.03465
323,-0.03364
324,-0.03364
325,-0.0337
326,-0.03436
327,-0.03569
328,-0.03605
329,-0.03644
330,-0.03617
331,-0.03566
332,-0.03493
333,-0.03476
334,-0.03501
335,-0.03497
336,-0.03503
337,-0.03554
338,-0.03592
339,-0.0366
340,-0.03624
341,-0.03739
342,-0.03681
343,-0.03713
344,-0.0361
345,-0.03629
346,-0.03521
347,-0.03506
348,-0.03394
349,-0.03381
350,-0.03451
351,-0.03451
352,-0.03446
353,-0.03504
354,-0.03522
355,-0.03492
356,-0.03592
357,-0.036
358,-0.03524
359,-0.0356
360,-0.0357
361,-0.03418
362,-0.03471
363,-0.03568
364,-0.03487
365,-0.03444
366,-0.0351
367,-0.03409
368,-0.03267
369,-0.03294
370,-0.03288
371,-0.03325
372,-0.03373
373,-0.03522
374,-0.03602
375,-0.03669
376,-0.03558
377,-0.03552
378,-0.036
379,-0.03484
380,-0.03361
381,-0.0346
382,-0.0341
383,-0.03231
384,-0.0328
385,-0.0338
386,-0.03311
387,-0.03268
388,-0.03266
389,-0.03181
390,-0.03059
391,-0.02914
392,-0.02924
393,-0.02787
394,-0.02634
395,-0.02577
396,-0.02571
397,-0.0234
398,-0.02258
399,-0.02159
400,-0.019
401,-0.01608
402,-0.01356
403,-0.01002
404,-0.00595
405,-0.00194
406,0.00263
407,0.00597
408,0.01006
409,0.01442
410,0.01939
411,0.02372
412,0.02993
413,0.03536
414,0.041
415,0.04761
416,0.05501
417,0.06282
418,0.07131
419,0.08044
420,0.08993
421,0.09935
422,0.10883
423,0.11859
424,0.12933
425,0.14089
426,0.15229
427,0.16416
428,0.17737
429,0.18938
430,0.20284
431,0.21704
432,0.23257
433,0.24735
434,0.26294
435,0.27894
436,0.29525
437,0.31202
438,0.33022
439,0.34846
440,0.36691
441,0.3856
442,0.40438
443,0.42493
444,0.44792
445,0.46881
446,0.49279
447,0.51707
448,0.53953
449,0.56384
450,0.58909
451,0.61479
452,0.64085
453,0.66886
454,0.69553
455,0.72322
456,0.75193
457,0.7812
458,0.81023
459,0.84063
460,0.87152
461,0.90195
462,0.93395
463,0.96739
464,0.99935
465,1.03281
466,1.06701
467,1.1005
468,1.13478
469,1.17067
470,1.20625
471,1.24248
472,1.27992
473,1.31723
474,1.35584
475,1.3954
476,1.43706
477,1.48157
478,1.52604
479,1.57218
480,1.61924
481,1.66654
482,1.71323
483,1.7614
484,1.81136
485,1.86282
486,1.9141
487,1.9678
488,2.02369
489,2.08053
490,2.13712
491,2.1951
492,2.25356
493,2.31346
494,2.37333
495,2.43545
496,2.50164
497,2.5648
498,2.63245
499,2.70055
500,2.76945
501,2.834
502,2.90192
503,2.96771
504,3.03535
505,3.09928
506,3.17014
507,3.23907
508,3.30687
509,3.37376
510,3.4462
511,3.51434
512,3.58745
513,3.66045
514,3.73206
515,3.80725
516,3.87863
517,3.94968
518,4.01969
519,4.09014
520,4.15971
521,4.22952
522,4.3025
523,4.37383
524,4.44566
525,4.51499
526,4.58814
527,4.65494
528,4.72356
529,4.79217
530,4.86287
531,4.9322
532,5.00101
533,5.06987
534,5.14125
535,5.20699
536,5.27271
537,5.34367
538,5.41127
539,5.4775
540,5.544
541,5.60875
542,5.67218
543,5.74089
544,5.80898
545,5.87957
546,5.95132
547,6.01873
548,6.08543
549,6.15257
550,6.21706
551,6.28426
552,6.35456
553,6.42425
554,6.495
555,6.56874
556,6.64345
557,6.71462
558,6.79033
559,6.86269
560,6.93699
561,7.01092
562,7.08966
563,7.16492
564,7.24377
565,7.32428
566,7.40181
567,7.48477
568,7.57133
569,7.65357
570,7.73798
571,7.82506
572,7.91112
573,7.99242
574,8.08234
575,8.17077
576,8.25889
577,8.34699
578,8.4379
579,8.5251
580,8.61646
581,8.71093
582,8.80359
583,8.89783
584,8.99937
585,9.09837
586,9.19487
587,9.29826
588,9.40479
589,9.50788
590,9.60921
591,9.71648
592,9.81946
593,9.92505
594,10.03126
595,10.14308
596,10.25155
597,10.36498
598,10.4767
599,10.58864
600,10.69805
601,10.8138
602,10.92572
603,11.038
604,11.15951
605,11.27604
606,11.38823
607,11.50632
608,11.62716
609,11.74542
610,11.86376
611,11.98802
612,12.10972
613,12.23348
614,12.34878
615,12.47279
616,12.59396
617,12.71319
618,12.83953
619,12.96684
620,13.09734
621,13.22381
622,13.34364
623,13.46456
624,13.58686
625,13.70048
626,13.82334
627,13.95874
628,14.08047
629,14.20569
630,14.33305
631,14.45376
632,14.57788
633,14.69527
634,14.81365
