“Wavelength (nm)”.,“T”
500,0.00069
501,0.00112
502,0.00151
503,0.00167
504,0.00177
505,0.00183
506,0.00221
507,0.00199
508,0.00202
509,0.00198
510,0.00257
511,0.00191
512,0.00151
513,0.00193
514,0.00219
515,0.00224
516,0.00296
517,0.00434
518,0.0048
519,0.00505
520,0.00484
521,0.00528
522,0.00547
523,0.00546
524,0.0056
525,0.0063
526,0.00633
527,0.00649
528,0.00738
529,0.00802
530,0.00812
531,0.00857
532,0.00932
533,0.00953
534,0.01029
535,0.01051
536,0.01145
537,0.01198
538,0.01273
539,0.01333
540,0.01463
541,0.01537
542,0.01561
543,0.01592
544,0.01619
545,0.01626
546,0.01658
547,0.0171
548,0.01809
549,0.01948
550,0.02044
551,0.02087
552,0.02211
553,0.02245
554,0.02289
555,0.02408
556,0.0254
557,0.02638
558,0.02726
559,0.02804
560,0.02899
561,0.02962
562,0.03072
563,0.03243
564,0.03365
565,0.03463
566,0.03613
567,0.03734
568,0.03857
569,0.03977
570,0.04116
571,0.04237
572,0.04368
573,0.04496
574,0.0466
575,0.04778
576,0.04925
577,0.05082
578,0.05227
579,0.054
580,0.05585
581,0.05776
582,0.06008
583,0.06208
584,0.0643
585,0.06674
586,0.06869
587,0.07016
588,0.07205
589,0.07368
590,0.07569
591,0.07799
592,0.08027
593,0.08269
594,0.08528
595,0.08754
596,0.08962
597,0.09245
598,0.09488
599,0.09735
600,0.09958
601,0.10238
602,0.10445
603,0.10728
604,0.11017
605,0.11359
606,0.11681
607,0.12024
608,0.12349
609,0.12588
610,0.129
611,0.13219
612,0.13535
613,0.13877
614,0.14261
615,0.14586
616,0.1488
617,0.15291
618,0.15711
619,0.16115
620,0.16459
621,0.16953
622,0.17323
623,0.17707
624,0.18058
625,0.18587
626,0.18961
627,0.19366
628,0.19731
629,0.20334
630,0.20841
631,0.21441
632,0.21976
633,0.22455
634,0.2288
635,0.23313
636,0.23679
637,0.24205
638,0.2483
639,0.25283
640,0.25743
641,0.2636
642,0.2686
643,0.27339
644,0.28037
645,0.28745
646,0.29237
647,0.29895
648,0.3053
649,0.31228
650,0.31836
651,0.32668
652,0.33357
653,0.34112
654,0.34754
655,0.35505
656,0.36269
657,0.37019
658,0.37782
659,0.38568
660,0.39307
661,0.39918
662,0.40552
663,0.41188
664,0.41849
665,0.42567
666,0.43345
667,0.44206
668,0.45043
669,0.45816
670,0.4671
671,0.47592
672,0.48593
673,0.4971
674,0.50801
675,0.51855
676,0.52848
677,0.53754
678,0.54651
679,0.55719
680,0.5674
681,0.58087
682,0.59333
683,0.60698
684,0.6174
685,0.62727
686,0.63791
687,0.64998
688,0.66032
689,0.67271
690,0.68619
691,0.69807
692,0.71177
693,0.72296
694,0.73442
695,0.74839
696,0.75962
697,0.76995
698,0.78498
699,0.79499
700,0.80221
701,0.81165
702,0.82243
703,0.83211
704,0.846
705,0.86401
706,0.88362
707,0.89883
708,0.91258
709,0.92951
710,0.94341
711,0.95624
712,0.97423
713,0.98959
714,1.00304
715,1.01882
716,1.03381
717,1.04967
718,1.06916
719,1.08885
720,1.10677
721,1.12692
722,1.14642
723,1.16771
724,1.19079
725,1.2123
726,1.23557
727,1.25523
728,1.27712
729,1.29632
730,1.31881
731,1.33877
732,1.36279
733,1.38461
734,1.40868
735,1.43228
736,1.45719
737,1.47969
738,1.50443
739,1.52796
740,1.55403
741,1.578
742,1.60377
743,1.6272
744,1.65717
745,1.68374
746,1.71297
747,1.74358
748,1.77261
749,1.79923
750,1.82865
751,1.85849
752,1.88777
753,1.92058
754,1.95144
755,1.98452
756,2.0171
757,2.05239
758,2.08781
759,2.12618
760,2.16178
761,2.19951
762,2.23786
763,2.27677
764,2.31823
765,2.3628
766,2.41037
767,2.45773
768,2.51045
769,2.56493
770,2.62359
771,2.67965
772,2.73981
773,2.80451
774,2.87073
775,2.93706
776,3.00958
777,3.09004
778,3.17264
779,3.25917
780,3.35593
781,3.46323
782,3.57178
783,3.69293
784,3.82712
785,3.97188
786,4.12862
787,4.29599
788,4.47615
789,4.67496
790,4.88683
791,5.10974
792,5.35531
793,5.61854
794,5.9039
795,6.21639
796,6.56937
797,6.95433
798,7.38243
799,7.85066
800,8.37078
801,8.93886
802,9.55579
803,10.22413
804,10.9393
805,11.70431
806,12.50971
807,13.38741
808,14.31337
809,15.30567
810,16.38165
811,17.55361
812,18.82652
813,20.19674
814,21.69058
815,23.23441
816,24.87689
817,26.55562
818,28.30454
819,30.08764
820,31.91912
821,33.75278
822,35.60884
823,37.44852
824,39.25142
825,41.02676
826,42.74117
827,44.37121
828,45.85733
829,47.19761
830,48.38665
831,49.38103
832,50.215
833,50.89747
834,51.43512
835,51.80828
836,52.04491
837,52.15479
838,52.18469
839,52.10961
840,51.94096
841,51.75253
842,51.46702
843,51.17578
844,50.85353
845,50.55458
846,50.26882
847,50.05342
848,49.84815
849,49.68499
850,49.53172
851,49.40167
852,49.31278
853,49.24907
854,49.27313
855,49.37712
856,49.53561
857,49.74126
858,49.98461
859,50.26401
860,50.59834
861,50.98462
862,51.47187
863,52.00009
864,52.60922
865,53.32472
866,54.06105
867,54.82796
868,55.72291
869,56.6936
870,57.6738
871,58.75539
872,59.87351
873,60.97805
874,62.12037
875,63.35864
876,64.65038
877,65.86333
878,67.16141
879,68.4035
880,69.62752
881,70.83247
882,72.10421
883,73.22343
884,74.41859
885,75.58087
886,76.50085
887,77.54714
888,78.8452
889,79.67207
890,80.4486
891,81.56511
892,82.08861
893,82.18212
894,82.63019
895,82.95409
896,83.13445
897,83.47626
898,83.61834
899,83.20353
900,83.14109
901,81.73706
902,80.9347
903,80.48903
904,79.17973
905,78.23204
906,78.02765
907,76.3261
908,75.35845
909,74.85666
910,73.04002
911,72.31002
912,71.58357
913,69.87216
914,69.39976
915,68.40572
916,66.91978
917,66.55932
918,65.39046
919,64.16335
920,63.78984
921,62.50233
922,61.60291
923,61.226
924,60.02604
925,59.49902
926,59.07776
927,58.01967
928,57.78242
929,57.78091
930,56.97721
931,56.48993
932,56.5451
933,55.77809
934,55.04105
935,55.06996
936,54.88895
937,54.3137
938,54.50362
939,54.37172
940,54.01833
941,54.3546
942,54.22213
943,54.08327
944,54.47139
945,54.34048
946,54.44015
947,54.90332
948,54.8264
949,55.14347
950,55.61457
951,55.64638
952,56.1539
953,56.64783
954,56.80199
955,57.46031
956,57.94612
957,58.21556
958,59.00189
959,59.48881
960,59.94085
961,60.8218
962,61.34115
963,61.96016
964,62.88744
965,63.42577
966,64.16727
967,65.14185
968,65.71499
969,66.6068
970,67.59856
971,68.25277
972,69.26097
973,70.2634
974,70.98119
975,72.08575
976,73.03013
977,73.75394
978,74.83722
979,75.66982
980,76.39252
981,77.43844
982,78.15769
983,78.88939
984,79.90379
985,80.52324
986,81.2402
987,82.15625
988,82.6383
989,83.30285
990,84.03133
991,84.366
992,84.93215
993,85.44853
994,85.59802
995,86.0238
996,86.27734
997,86.25149
998,86.52454
999,86.52449
1000,86.33701
1001,86.43879
1002,86.19505
1003,85.86861
1004,85.82068
1005,85.35622
1006,84.91802
1007,84.66684
1008,84.03787
1009,83.48859
1010,83.07668
1011,82.29527
1012,81.72722
1013,81.10081
1014,80.23994
1015,79.58667
1016,78.87601
1017,77.92778
1018,77.31298
1019,76.45908
1020,75.55276
1021,74.87513
1022,73.99419
1023,73.09665
1024,72.44409
1025,71.52853
1026,70.75418
1027,70.04856
1028,69.16061
1029,68.44503
1030,67.75278
1031,66.88019
1032,66.27666
1033,65.56257
1034,64.80401
1035,64.26514
1036,63.5799
1037,62.93863
1038,62.49309
1039,61.84243
1040,61.35661
1041,60.91626
1042,60.34077
1043,59.93136
1044,59.5024
1045,58.97086
1046,58.66751
1047,58.23087
1048,57.82275
1049,57.57967
1050,57.19044
1051,56.9115
1052,56.73334
1053,56.39373
1054,56.23382
1055,56.06626
1056,55.78584
1057,55.71004
1058,55.55228
1059,55.36342
1060,55.36873
1061,55.22367
1062,55.12802
1063,55.1823
1064,55.05625
1065,55.06083
1066,55.13772
1067,55.0731
1068,55.17199
1069,55.27374
1070,55.25887
1071,55.45691
1072,55.57495
1073,55.65026
1074,55.92209
1075,56.07377
1076,56.2496
1077,56.57719
1078,56.73461
1079,56.98115
1080,57.32961
1081,57.50887
1082,57.82302
1083,58.20159
1084,58.40894
1085,58.8113
1086,59.19529
1087,59.45897
1088,59.91982
1089,60.35155
1090,60.66833
1091,61.22058
1092,61.64964
1093,62.07544
1094,62.67717
1095,63.14455
1096,63.62753
1097,64.28415
1098,64.75509
1099,65.32722
1100,66.01159
1101,66.50743
1102,67.16353
1103,67.86082
1104,68.38541
1105,69.0883
1106,69.77519
1107,70.32107
1108,71.05159
1109,71.7112
1110,72.2782
1111,73.04858
1112,73.67021
1113,74.26491
1114,75.0099
1115,75.56864
1116,76.15891
1117,76.87257
1118,77.4043
1119,78.02985
1120,78.72824
1121,79.22757
1122,79.87743
1123,80.50812
1124,80.98564
1125,81.64417
1126,82.21677
1127,82.68627
1128,83.31748
1129,83.77511
1130,84.18442
1131,84.73019
1132,85.04953
1133,85.42463
1134,85.86631
1135,86.08614
1136,86.41994
1137,86.73759
1138,86.87386
1139,87.15013
1140,87.34406
1141,87.40023
1142,87.60661
1143,87.62894
1144,87.62779
1145,87.72966
1146,87.6146
1147,87.56551
1148,87.56774
1149,87.35886
1150,87.2721
1151,87.13726
1152,86.86129
1153,86.71514
1154,86.44506
1155,86.0985
1156,85.89359
1157,85.48986
1158,85.10434
1159,84.79215
1160,84.29691
1161,83.90033
1162,83.51022
1163,82.96043
1164,82.58048
1165,82.12288
1166,81.55838
1167,81.13662
1168,80.60322
1169,80.02388
1170,79.56513
1171,78.94872
1172,78.3694
1173,77.87298
1174,77.22023
1175,76.63857
1176,76.11613
1177,75.45903
1178,74.92103
1179,74.38159
1180,73.75456
1181,73.24226
1182,72.71745
1183,72.10173
1184,71.61084
1185,71.0647
1186,70.47271
1187,69.96597
1188,69.41763
1189,68.84887
1190,68.36784
1191,67.84157
1192,67.3285
1193,66.87095
1194,66.34948
1195,65.89077
1196,65.43651
1197,64.94557
1198,64.50537
1199,64.10743
1200,63.63677
1201,63.25637
1202,62.87457
1203,62.45573
1204,62.09635
1205,61.72573
1206,61.33412
1207,61.01016
1208,60.67174
1209,60.32125
1210,60.03958
1211,59.72989
1212,59.41753
1213,59.15288
1214,58.87527
1215,58.60144
1216,58.37136
1217,58.12493
1218,57.88466
1219,57.67921
1220,57.45719
1221,57.26038
1222,57.08854
1223,56.91182
1224,56.74554
1225,56.60766
1226,56.44658
1227,56.30762
1228,56.19189
1229,56.0561
1230,55.96362
1231,55.88742
1232,55.78994
1233,55.73064
1234,55.68889
1235,55.62312
1236,55.58224
1237,55.55594
1238,55.53294
1239,55.53207
1240,55.52213
1241,55.52575
1242,55.55194
1243,55.55573
1244,55.58608
1245,55.64364
1246,55.68181
1247,55.76536
1248,55.85946
1249,55.92467
1250,56.04279
1251,56.16256
1252,56.25994
1253,56.41733
1254,56.56233
1255,56.68872
1256,56.88659
1257,57.03102
1258,57.18519
1259,57.40778
1260,57.56037
1261,57.74788
1262,57.98721
1263,58.14117
1264,58.35352
1265,58.60625
1266,58.77927
1267,59.04168
1268,59.30381
1269,59.5038
1270,59.80388
1271,60.06865
1272,60.29768
1273,60.63222
1274,60.90802
1275,61.15911
1276,61.51414
1277,61.79553
1278,62.0814
1279,62.44853
1280,62.73452
1281,63.05753
1282,63.42046
1283,63.73864
1284,64.0822
1285,64.46112
1286,64.77305
1287,65.16235
1288,65.51968
1289,65.85902
1290,66.25697
1291,66.64005
1292,66.99516
1293,67.43583
1294,67.83585
1295,68.2476
1296,68.69547
1297,69.11015
1298,69.52584
1299,69.99759
1300,70.41558
1301,70.87248
1302,71.34164
1303,71.79899
1304,72.26573
1305,72.75492
1306,73.21218
1307,73.70515
1308,74.17939
1309,74.65025
1310,75.15297
1311,75.64912
1312,76.13925
1313,76.63994
1314,77.11475
1315,77.58602
1316,78.04948
1317,78.48524
1318,78.92025
1319,79.31987
1320,79.74665
1321,80.17289
1322,80.55503
1323,81.00066
1324,81.45711
1325,81.8158
1326,82.26875
1327,82.70346
1328,83.04838
1329,83.50605
1330,83.88275
1331,84.20058
1332,84.64135
1333,84.95013
1334,85.25692
1335,85.65955
1336,85.90533
1337,86.2056
1338,86.5368
1339,86.70742
1340,87.0278
1341,87.28648
1342,87.39903
1343,87.70748
1344,87.89075
1345,87.96123
1346,88.24717
1347,88.3423
1348,88.42459
1349,88.64881
1350,88.66683
1351,88.74303
1352,88.90961
1353,88.84875
1354,88.94251
1355,89.00764
1356,88.90842
1357,88.9996
1358,88.99039
1359,88.85485
1360,88.91862
1361,88.79857
1362,88.64799
1363,88.66523
1364,88.46019
1365,88.31932
1366,88.29888
1367,88.02274
1368,87.883
1369,87.81422
1370,87.49803
1371,87.3504
1372,87.19821
1373,86.84686
1374,86.68414
1375,86.47114
1376,86.10507
1377,85.94572
1378,85.66435
1379,85.27697
1380,85.08946
1381,84.72066
1382,84.33949
1383,84.11655
1384,83.70139
1385,83.31582
1386,83.09634
1387,82.63557
1388,82.27421
1389,82.0179
1390,81.53211
1391,81.17947
1392,80.87609
1393,80.37127
1394,80.02365
1395,79.6741
1396,79.14526
1397,78.8237
1398,78.43208
1399,77.92648
1400,77.62811
1401,77.19971
1402,76.69878
1403,76.41637
1404,75.93841
1405,75.48387
1406,75.21268
1407,74.72688
1408,74.30803
1409,74.05035
1410,73.549
1411,73.18171
1412,72.88751
1413,72.3894
1414,72.07098
1415,71.74249
1416,71.25314
1417,70.98595
1418,70.61242
1419,70.13571
1420,69.89345
1421,69.48535
1422,69.05901
1423,68.82811
1424,68.39603
1425,68.02208
1426,67.78675
1427,67.3522
1428,67.06088
1429,66.82253
1430,66.38925
1431,66.15736
1432,65.85728
1433,65.43921
1434,65.23676
1435,64.91827
1436,64.56326
1437,64.38862
1438,64.03317
1439,63.73867
1440,63.55733
1441,63.17664
1442,62.95815
1443,62.78526
1444,62.42706
1445,62.26831
1446,62.06343
1447,61.72763
1448,61.61074
1449,61.35505
1450,61.0443
1451,60.96164
1452,60.69697
1453,60.4364
1454,60.37654
1455,60.12086
1456,59.91434
1457,59.84267
1458,59.58427
1459,59.42823
1460,59.34086
1461,59.09129
1462,58.96865
1463,58.84906
1464,58.62029
1465,58.53584
1466,58.40789
1467,58.21737
1468,58.17269
1469,58.04155
1470,57.8731
1471,57.82552
1472,57.69774
1473,57.55791
1474,57.50472
1475,57.38744
1476,57.28656
1477,57.23104
1478,57.11304
1479,57.0365
1480,56.98589
1481,56.89694
1482,56.84296
1483,56.80294
1484,56.71989
1485,56.6815
1486,56.6349
1487,56.57553
1488,56.56399
1489,56.53585
1490,56.4708
1491,56.46297
1492,56.42834
1493,56.38853
1494,56.41881
1495,56.41462
1496,56.40631
1497,56.42235
1498,56.39502
1499,56.33847
1500,56.32836
