'Wavelength (nm)',n,k
0.241143356,3.395368,1.177775
0.242734009,3.399335,1.12252
0.244324661,3.400097,1.06866
0.245915359,3.397862,1.016401
0.247506058,3.392853,0.965923
0.249096802,3.385299,0.91738
0.250687546,3.375437,0.870899
0.25227832,3.363508,0.826578
0.25386911,3.34975,0.784492
0.25545993,3.3344,0.744688
0.257050751,3.31769,0.707193
0.258641602,3.299844,0.672007
0.260232483,3.281074,0.639114
0.261823364,3.261584,0.608479
0.263414276,3.241564,0.580048
0.265005188,3.221189,0.553757
0.26659613,3.200621,0.529528
0.268187103,3.180007,0.507272
0.269778076,3.159478,0.486896
0.27136908,3.13915,0.468296
0.272960083,3.119127,0.451369
0.274551117,3.099494,0.436007
0.276142151,3.080325,0.422101
0.277733215,3.061681,0.409543
0.27932431,3.043611,0.398229
0.280915405,3.026153,0.388054
0.2825065,3.009334,0.37892
0.284097626,2.993172,0.37073
0.285688782,2.977677,0.363396
0.287279907,2.962854,0.356833
0.288871063,2.948699,0.35096
0.29046225,2.935204,0.345704
0.292053436,2.922357,0.340997
0.293644653,2.910142,0.336777
0.29523587,2.89854,0.332987
0.296827087,2.887532,0.329574
0.298418335,2.877095,0.326492
0.300009583,2.867205,0.323699
0.301600861,2.857839,0.321157
0.303192139,2.848972,0.318832
0.304783417,2.840581,0.316695
0.306374725,2.832643,0.31472
0.307966034,2.825133,0.312883
0.309557373,2.81803,0.311164
0.311148682,2.811312,0.309545
0.312740051,2.804958,0.308011
0.31433136,2.798949,0.306547
0.31592276,2.793267,0.305144
0.317514099,2.787893,0.30379
0.319105499,2.782812,0.302478
0.320696869,2.778008,0.301199
0.322288269,2.773465,0.299947
0.323879669,2.769172,0.298718
0.325471069,2.765116,0.297506
0.3270625,2.761285,0.296309
0.3286539,2.757668,0.295121
0.330245331,2.754256,0.293942
0.331836792,2.75104,0.292768
0.333428223,2.748012,0.291598
0.335019684,2.745164,0.29043
0.336611145,2.74249,0.289263
0.338202576,2.739984,0.288095
0.339794037,2.737641,0.286926
0.341385529,2.735457,0.285754
0.34297699,2.733427,0.284578
0.344568481,2.731548,0.283397
0.346159973,2.729819,0.28221
0.347751434,2.728236,0.281016
0.349342957,2.7268,0.279813
0.350934418,2.725508,0.278598
0.35252594,2.724362,0.277369
0.354117401,2.72336,0.276124
0.355708923,2.722505,0.274859
0.357300415,2.721796,0.273568
0.358891907,2.721236,0.272248
0.360483429,2.720825,0.270892
0.362074921,2.720565,0.269492
0.363666443,2.720458,0.268042
0.365257965,2.720502,0.266531
0.366849457,2.720701,0.26495
0.368440979,2.721051,0.263288
0.370032471,2.721552,0.261532
0.371623962,2.722201,0.25967
0.373215485,2.722994,0.257687
0.374806976,2.723925,0.255569
0.376398499,2.724986,0.253303
0.37798999,2.726168,0.250873
0.379581482,2.727458,0.248264
0.381173004,2.728845,0.245464
0.382764465,2.730311,0.24246
0.384355988,2.73184,0.239238
0.385947449,2.733412,0.235791
0.387538971,2.735006,0.232108
0.389130432,2.736599,0.228183
0.390721924,2.738168,0.224014
0.392313416,2.739688,0.219598
0.393904846,2.741134,0.214937
0.395496338,2.742481,0.210035
0.397087799,2.743704,0.204899
0.39867926,2.744778,0.199538
0.400270691,2.74568,0.193966
0.401862122,2.746388,0.188197
0.403453583,2.746882,0.182249
0.405045013,2.747143,0.176142
0.406636414,2.747155,0.169897
0.408227844,2.746905,0.163536
0.409819275,2.746382,0.157085
0.411410706,2.745576,0.150569
0.413002045,2.744483,0.144014
0.414593445,2.7431,0.137445
0.416184814,2.741427,0.130889
0.417776215,2.739467,0.12437
0.419367584,2.737224,0.117913
0.420958923,2.734706,0.111542
0.422550232,2.731924,0.10528
0.424141602,2.728889,0.099146
0.42573291,2.725615,0.09316
0.427324219,2.722116,0.087339
0.428915527,2.71841,0.081699
0.430506836,2.714513,0.076251
0.432098083,2.710444,0.071009
0.433689362,2.706221,0.06598
0.435280609,2.701863,0.061172
0.436871887,2.697389,0.05659
0.438463135,2.692816,0.052236
0.440054352,2.688165,0.048114
0.441645569,2.683453,0.044221
0.443236725,2.678695,0.040557
0.444827942,2.67391,0.037119
0.446419098,2.669111,0.0339
0.448010254,2.664314,0.030898
0.449601379,2.659531,0.028103
0.451192535,2.654774,0.02551
0.4527836,2.650056,0.02311
0.454374695,2.645385,0.020895
0.455965759,2.64077,0.018856
